id,varname,description
var1,StartDate,"{Default qualtrics variable} Timestamp for first click on the survey"
var2,EndDate,"{Default qualtrics variable} Timestamp for last click on the survey (submission or otherwise)"
var3,Duration__in_seconds_,"Survey duration time"
var4,Finished,"{Default qualtrics variable} TRUE 1/ FALSE 0 - did they finish the survey"
var5,RecordedDate,"{Default qualtrics variable} Will differ from enddate for respondents taking survey offline and submitting later"
var6,Attention_check,"The response for the attention check - should be 8"
var7,A1,"var7 - var31 - Literacy test question: 1 = correct, 0= incorrect"
var8,A2,
var9,A3,
var10,A4,
var11,A5,
var12,A6,
var13,A7,
var14,A8,
var15,A9,
var16,A10,
var17,A11,
var18,A12,
var19,A13,
var20,A14,
var21,A15,
var22,A16,
var23,A17,
var24,A18,
var25,A19,
var26,A20,
var27,A21,
var28,A22,
var29,A23,
var30,A24,
var31,A25,
var32,tasks_1,"var32 - var57 - task ethicality: Definitely unethical  1 -  Definitely ethical  7"
var33,tasks_2,
var34,tasks_3,
var35,tasks_4,
var36,tasks_5,
var37,tasks_6,
var38,tasks_7,
var39,tasks_8,
var40,tasks_9,
var41,tasks_10,
var42,tasks_11,
var43,tasks_12,
var44,tasks_13,
var45,tasks_14,
var46,tasks_15,
var47,tasks_16,
var48,tasks_17,
var49,tasks_18,
var50,tasks_19,
var51,tasks_20,
var52,tasks_21,
var53,tasks_22,
var54,tasks_23,
var55,tasks_24,
var56,tasks_25,
var57,tasks_26,
var58,Gender,"o	Male  (1)  o	Female  (2)  o	Non-binary / Third gender  (3)  o	Other  (4)  o	Prefer not to say  (5) "
var59,Age,"age in years"
var60,SC0,"Sum of the scores for the 25 item AI Literacy measure"
var61,Ethical26Items,"task ethicality average"
var62,filter_$,"Data inclusion filter, based on the inclusion criteria (1 included, 0 not included)"
